
Интерфейс: 192.168.0.16 --- 0x11
  адрес в Интернете      Физический адрес      Тип
  192.168.0.1           c4-ad-34-4d-3c-57     динамический
  192.168.0.4           14-da-e9-9c-3d-50     динамический
  192.168.0.5           40-b0-76-43-34-46     динамический
  192.168.0.6           70-8b-cd-a2-96-eb     динамический
  192.168.0.7           a8-5e-45-30-93-5a     динамический
  192.168.0.10          02-08-dc-d7-5c-a0     динамический
  192.168.0.11          d8-5e-d3-31-8c-12     динамический
  192.168.0.12          d8-5e-d3-31-8f-9f     динамический
  192.168.0.15          e0-d5-5e-93-2a-ef     динамический
  192.168.0.17          60-45-cb-a7-56-e5     динамический
  192.168.0.31          b4-4c-3b-a4-97-41     динамический
  192.168.0.38          24-4b-fe-8c-5c-5f     динамический
  192.168.0.55          00-17-c8-b7-ba-19     динамический
  192.168.0.100         24-4b-fe-d0-03-ef     динамический
  192.168.0.134         4c-ed-fb-bf-20-7d     динамический
  192.168.0.139         4c-cc-6a-2d-c2-fc     динамический
  192.168.0.150         70-85-c2-b2-42-dd     динамический
  192.168.0.199         00-25-22-6b-b1-b5     динамический
  192.168.0.201         6c-3b-6b-da-4d-e6     динамический
  192.168.0.210         ac-b9-2f-49-4d-15     динамический
  192.168.0.234         f0-2f-74-c9-95-9f     динамический
  192.168.0.240         ac-b9-2f-49-4e-35     динамический
  192.168.0.241         ac-b9-2f-49-4e-4d     динамический
  192.168.0.255         ff-ff-ff-ff-ff-ff     статический
  224.0.0.22            01-00-5e-00-00-16     статический
  224.0.0.252           01-00-5e-00-00-fc     статический
  239.255.255.250       01-00-5e-7f-ff-fa     статический
  255.255.255.255       ff-ff-ff-ff-ff-ff     статический
